CT_NAME,CT_CD,GINI_2015
Denmark,DNK,3.02668E+11
Finland,FIN,2.3392E+11
Sweden,SWE,5.04407E+11
New Zealand,NZL,1.67176E+11
Netherlands,NLD,7.47565E+11
Norway,NOR,4.074E+11
Switzerland,CHE,6.87307E+11
Singapore,SGP,2.78938E+11
Canada,CAN,1.53996E+12
Germany,DEU,3.43666E+12
Luxembourg,LUX,40118974407
United Kingdom,GBR,2.79972E+12
Australia,AUS,1.31163E+12
Iceland,ISL,16583293803
Belgium,BEL,4.54123E+11
Austria,AUT,3.74893E+11
United States,USA,1.8496E+13
"Hong Kong SAR, China",HKG,3.1433E+11
Ireland,IRL,2.26131E+11
Japan,JPN,4.54895E+12
Uruguay,URY,51320258442
Qatar,QAT,1.61076E+11
Chile,CHL,2.34593E+11
Estonia,EST,21995674836
France,FRA,2.45812E+12
United Arab Emirates,ARE,3.70568E+11
Bhutan,BTN,1875571261
Botswana,BWA,14091371392
Portugal,PRT,1.94683E+11
Poland,POL,4.60507E+11
Cyprus,CYP,19490011610
Israel,ISR,2.95009E+11
Lithuania,LTU,39449846179
Slovenia,SVN,41685778973
Spain,ESP,1.19832E+12
Czech Republic,CZE,1.72986E+11
"Korea, Dem. People’s Rep.",PRK,
Malta,MLT,9508558259
Costa Rica,CRI,51766834463
Latvia,LVA,26938509482
Rwanda,RWA,7912894634
Jordan,JOR,37040090704
Mauritius,MUS,11596271184
Namibia,NAM,11455564343
Georgia,GEO,13581648218
Saudi Arabia,SAU,6.61667E+11
Bahrain,BHR,25827851064
Croatia,HRV,48431659099
Hungary,HUN,1.16133E+11
Slovak Republic,SVK,85841699013
Malaysia,MYS,2.87975E+11
Kuwait,KWT,1.28876E+11
Cuba,CUB,
Ghana,GHA,36411505263
Greece,GRC,1.95989E+11
Romania,ROM,1.73811E+11
Oman,OMN,67514975167
Italy,ITA,1.81254E+12
Lesotho,LSO,2537436323
Montenegro,MNE,4089986058
Senegal,SEN,13383626164
South Africa,ZAF,3.06706E+11
Sao Tome and Principe,STP,320543320.7
"Macedonia, FYR",MKD,9839843841
Turkey,TUR,7.08355E+11
Bulgaria,BGR,49190408638
Jamaica,JAM,13949865601
Serbia,SRB,35327332465
El Salvador,SLV,24713100000
Mongolia,MNG,10777554097
Panama,PAN,47963834335
Trinidad and Tobago,TTO,22761782278
Bosnia and Herzegovina,BIH,16268255815
Brazil,BRA,1.73597E+12
Burkina Faso,BFA,10425654058
India,IND,2.07111E+12
Thailand,THA,3.7532E+11
Tunisia,TUN,41647695641
Zambia,ZMB,20087632575
Benin,BEN,8263954911
China,CHN,1.09616E+13
Colombia,COL,2.86255E+11
Liberia,LBR,1773000000
Sri Lanka,LKA,80466520287
Albania,ALB,11233126204
Algeria,DZA,1.62254E+11
"Egypt, Arab Rep.",EGY,3.24703E+11
Indonesia,IDN,8.33906E+11
Morocco,MAR,98706102844
Peru,PER,1.82098E+11
Suriname,SUR,5122891211
Armenia,ARM,10964557495
Mali,MLI,12352234321
Mexico,MEX,1.13534E+12
Philippines,PHL,3.53759E+11
Bolivia,BOL,31824991751
Djibouti,DJI,
Gabon,GAB,13405722254
Niger,NER,7079378713
Dominican Republic,DOM,65057949416